"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 22:35:00 GMT 2025","Fri Mar 07 22:35:00 GMT 2025","329","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWithoutAlias","Hostfully APis: Attempt to create a Property without passing an alias",""
"passed","Fri Mar 07 22:35:00 GMT 2025","Fri Mar 07 22:35:01 GMT 2025","390","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Fri Mar 07 22:34:54 GMT 2025","Fri Mar 07 22:34:55 GMT 2025","722","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutStartDate","Hostfully APIs: Attempt to create a booking without start date",""
"passed","Fri Mar 07 22:34:59 GMT 2025","Fri Mar 07 22:35:00 GMT 2025","288","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidURL","Hostfully APis: Attempt to create a property invalid URL",""
"failed","Fri Mar 07 22:34:46 GMT 2025","Fri Mar 07 22:34:50 GMT 2025","4301","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"failed","Fri Mar 07 22:34:52 GMT 2025","Fri Mar 07 22:34:53 GMT 2025","635","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"passed","Fri Mar 07 22:34:57 GMT 2025","Fri Mar 07 22:34:58 GMT 2025","633","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutEndDate","Hostfully APIs: Attempt to create a booking without end date",""
"passed","Fri Mar 07 22:34:51 GMT 2025","Fri Mar 07 22:34:52 GMT 2025","781","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"passed","Fri Mar 07 22:34:56 GMT 2025","Fri Mar 07 22:34:56 GMT 2025","619","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidProperty","Hostfully APis: Attempt to create a booking with invalid property (non existent)",""
"failed","Fri Mar 07 22:35:01 GMT 2025","Fri Mar 07 22:35:01 GMT 2025","307","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertySuccess","Hostfully APis: Create a property with success",""
"failed","Fri Mar 07 22:35:02 GMT 2025","Fri Mar 07 22:35:03 GMT 2025","599","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"failed","Fri Mar 07 22:34:55 GMT 2025","Fri Mar 07 22:34:56 GMT 2025","598","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"failed","Fri Mar 07 22:35:01 GMT 2025","Fri Mar 07 22:35:02 GMT 2025","589","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyAliasAlreadyExisted","Hostfully APis: Attempt to create a Property with alias already existed",""
"failed","Fri Mar 07 22:35:00 GMT 2025","Fri Mar 07 22:35:00 GMT 2025","283","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidCountryCode","Hostfully APis: Attempt to create a Property with invalid country code",""
"passed","Fri Mar 07 22:34:59 GMT 2025","Fri Mar 07 22:34:59 GMT 2025","623","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"passed","Fri Mar 07 22:34:57 GMT 2025","Fri Mar 07 22:34:57 GMT 2025","607","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutLastName","Hostfully APIs: Attempt to create a booking without lastName",""
"failed","Fri Mar 07 22:34:56 GMT 2025","Fri Mar 07 22:34:57 GMT 2025","581","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutBirthDate","Hostfully APIs: Attempt to create a booking without birth date",""
"passed","Fri Mar 07 22:35:04 GMT 2025","Fri Mar 07 22:35:04 GMT 2025","607","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyIdWrongIdStringType","Hostfully APis: Attempt to get a property with id invalid pattern(id or wrong string)",""
"failed","Fri Mar 07 22:34:58 GMT 2025","Fri Mar 07 22:34:59 GMT 2025","593","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingEndDateBeforeStartDate","Hostfully APis: Booking creation fails when end date is before start date",""
"failed","Fri Mar 07 22:34:53 GMT 2025","Fri Mar 07 22:34:54 GMT 2025","879","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
"failed","Fri Mar 07 22:34:53 GMT 2025","Fri Mar 07 22:34:53 GMT 2025","595","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessEqualDates","Hostfully APis: Create a booking with start date and end date equals",""
"failed","Fri Mar 07 22:35:00 GMT 2025","Fri Mar 07 22:35:00 GMT 2025","270","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertyDifferentCountryCode","Hostfully APis: Create a property with different country code: BR",""
"passed","Fri Mar 07 22:35:02 GMT 2025","Fri Mar 07 22:35:02 GMT 2025","715","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"failed","Fri Mar 07 22:34:51 GMT 2025","Fri Mar 07 22:34:51 GMT 2025","614","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCancelledStatus","Hostfully APis: Create a booking with success Cancelled Status",""
"failed","Fri Mar 07 22:35:03 GMT 2025","Fri Mar 07 22:35:04 GMT 2025","584","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyInvalidId","Hostfully APis: Attempt to get a property with invalid id (non existent property)",""
"failed","Fri Mar 07 22:34:50 GMT 2025","Fri Mar 07 22:34:51 GMT 2025","703","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidStatus","Hostfully APis: Attempt to create a booking with invalid status",""
