"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 22:00:55 GMT 2025","Fri Mar 07 22:00:55 GMT 2025","595","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"failed","Fri Mar 07 22:00:58 GMT 2025","Fri Mar 07 22:00:59 GMT 2025","561","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"passed","Fri Mar 07 22:00:52 GMT 2025","Fri Mar 07 22:00:53 GMT 2025","573","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidProperty","Hostfully APis: Attempt to create a booking with invalid property (non existent)",""
"failed","Fri Mar 07 22:00:43 GMT 2025","Fri Mar 07 22:00:47 GMT 2025","4186","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"passed","Fri Mar 07 22:00:48 GMT 2025","Fri Mar 07 22:00:49 GMT 2025","720","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"failed","Fri Mar 07 22:00:50 GMT 2025","Fri Mar 07 22:00:51 GMT 2025","817","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
"failed","Fri Mar 07 22:00:51 GMT 2025","Fri Mar 07 22:00:52 GMT 2025","554","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"passed","Fri Mar 07 22:00:53 GMT 2025","Fri Mar 07 22:00:54 GMT 2025","609","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutLastName","Hostfully APIs: Attempt to create a booking without lastName",""
"passed","Fri Mar 07 22:00:54 GMT 2025","Fri Mar 07 22:00:54 GMT 2025","572","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutEndDate","Hostfully APIs: Attempt to create a booking without end date",""
"passed","Fri Mar 07 22:00:56 GMT 2025","Fri Mar 07 22:00:56 GMT 2025","312","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWithoutAlias","Hostfully APis: Attempt to create a Property without passing an alias",""
