"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 21:22:51 GMT 2025","Fri Mar 07 21:22:52 GMT 2025","736","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"failed","Fri Mar 07 21:23:02 GMT 2025","Fri Mar 07 21:23:02 GMT 2025","561","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"failed","Fri Mar 07 21:22:53 GMT 2025","Fri Mar 07 21:22:54 GMT 2025","860","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
"failed","Fri Mar 07 21:22:52 GMT 2025","Fri Mar 07 21:22:53 GMT 2025","596","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"failed","Fri Mar 07 21:22:50 GMT 2025","Fri Mar 07 21:22:51 GMT 2025","681","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidStatus","Hostfully APis: Attempt to create a booking with invalid status",""
"failed","Fri Mar 07 21:22:56 GMT 2025","Fri Mar 07 21:22:56 GMT 2025","553","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutBirthDate","Hostfully APIs: Attempt to create a booking without birth date",""
"failed","Fri Mar 07 21:22:46 GMT 2025","Fri Mar 07 21:22:50 GMT 2025","4084","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"passed","Fri Mar 07 21:23:03 GMT 2025","Fri Mar 07 21:23:04 GMT 2025","561","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyIdWrongIdStringType","Hostfully APis: Attempt to get a property with id invalid pattern(id or wrong string)",""
"passed","Fri Mar 07 21:22:54 GMT 2025","Fri Mar 07 21:22:55 GMT 2025","675","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutStartDate","Hostfully APIs: Attempt to create a booking without start date",""
"failed","Fri Mar 07 21:23:02 GMT 2025","Fri Mar 07 21:23:03 GMT 2025","549","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyInvalidId","Hostfully APis: Attempt to get a property with invalid id (non existent property)",""
"passed","Fri Mar 07 21:22:57 GMT 2025","Fri Mar 07 21:22:58 GMT 2025","613","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutEndDate","Hostfully APIs: Attempt to create a booking without end date",""
"passed","Fri Mar 07 21:23:01 GMT 2025","Fri Mar 07 21:23:02 GMT 2025","691","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"failed","Fri Mar 07 21:23:00 GMT 2025","Fri Mar 07 21:23:00 GMT 2025","266","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertyDifferentCountryCode","Hostfully APis: Create a property with different country code: BR",""
"failed","Fri Mar 07 21:22:55 GMT 2025","Fri Mar 07 21:22:55 GMT 2025","566","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"failed","Fri Mar 07 21:22:59 GMT 2025","Fri Mar 07 21:23:00 GMT 2025","283","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidCountryCode","Hostfully APis: Attempt to create a Property with invalid country code",""
"passed","Fri Mar 07 21:22:59 GMT 2025","Fri Mar 07 21:22:59 GMT 2025","309","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWithoutAlias","Hostfully APis: Attempt to create a Property without passing an alias",""
"passed","Fri Mar 07 21:22:58 GMT 2025","Fri Mar 07 21:22:59 GMT 2025","594","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
