"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 08 18:40:01 GMT 2025","Sat Mar 08 18:40:02 GMT 2025","486","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutLastName","Hostfully APIs: Attempt to create a booking without lastName",""
"failed","Sat Mar 08 18:39:51 GMT 2025","Sat Mar 08 18:39:56 GMT 2025","4061","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"failed","Sat Mar 08 18:39:57 GMT 2025","Sat Mar 08 18:39:58 GMT 2025","458","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"passed","Sat Mar 08 18:40:04 GMT 2025","Sat Mar 08 18:40:04 GMT 2025","314","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Sat Mar 08 18:40:02 GMT 2025","Sat Mar 08 18:40:03 GMT 2025","445","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"failed","Sat Mar 08 18:39:59 GMT 2025","Sat Mar 08 18:40:00 GMT 2025","423","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"passed","Sat Mar 08 18:40:05 GMT 2025","Sat Mar 08 18:40:05 GMT 2025","531","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Sat Mar 08 18:40:03 GMT 2025","Sat Mar 08 18:40:03 GMT 2025","245","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidURL","Hostfully APis: Attempt to create a property invalid URL",""
"passed","Sat Mar 08 18:40:00 GMT 2025","Sat Mar 08 18:40:00 GMT 2025","481","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidProperty","Hostfully APis: Attempt to create a booking with invalid property (non existent)",""
"failed","Sat Mar 08 18:39:56 GMT 2025","Sat Mar 08 18:39:57 GMT 2025","481","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCancelledStatus","Hostfully APis: Create a booking with success Cancelled Status",""
