"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 07 21:15:58 GMT 2025","Fri Mar 07 21:15:58 GMT 2025","567","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyIdWrongIdStringType","Hostfully APis: Attempt to get a property with id invalid pattern(id or wrong string)",""
"passed","Fri Mar 07 21:15:54 GMT 2025","Fri Mar 07 21:15:54 GMT 2025","305","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWithoutAlias","Hostfully APis: Attempt to create a Property without passing an alias",""
"failed","Fri Mar 07 21:15:57 GMT 2025","Fri Mar 07 21:15:57 GMT 2025","559","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"failed","Fri Mar 07 21:15:48 GMT 2025","Fri Mar 07 21:15:49 GMT 2025","821","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
"passed","Fri Mar 07 21:15:54 GMT 2025","Fri Mar 07 21:15:54 GMT 2025","283","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidURL","Hostfully APis: Attempt to create a property invalid URL",""
"failed","Fri Mar 07 21:15:55 GMT 2025","Fri Mar 07 21:15:55 GMT 2025","279","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertyDifferentCountryCode","Hostfully APis: Create a property with different country code: BR",""
"passed","Fri Mar 07 21:15:55 GMT 2025","Fri Mar 07 21:15:55 GMT 2025","397","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"failed","Fri Mar 07 21:15:57 GMT 2025","Fri Mar 07 21:15:58 GMT 2025","548","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyInvalidId","Hostfully APis: Attempt to get a property with invalid id (non existent property)",""
"passed","Fri Mar 07 21:15:56 GMT 2025","Fri Mar 07 21:15:57 GMT 2025","664","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Fri Mar 07 21:15:52 GMT 2025","Fri Mar 07 21:15:53 GMT 2025","584","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutEndDate","Hostfully APIs: Attempt to create a booking without end date",""
"passed","Fri Mar 07 21:15:53 GMT 2025","Fri Mar 07 21:15:54 GMT 2025","590","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"passed","Fri Mar 07 21:15:46 GMT 2025","Fri Mar 07 21:15:47 GMT 2025","746","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"failed","Fri Mar 07 21:15:53 GMT 2025","Fri Mar 07 21:15:53 GMT 2025","540","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingEndDateBeforeStartDate","Hostfully APis: Booking creation fails when end date is before start date",""
"failed","Fri Mar 07 21:15:54 GMT 2025","Fri Mar 07 21:15:55 GMT 2025","277","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyInvalidCountryCode","Hostfully APis: Attempt to create a Property with invalid country code",""
"failed","Fri Mar 07 21:15:41 GMT 2025","Fri Mar 07 21:15:45 GMT 2025","4197","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"failed","Fri Mar 07 21:15:46 GMT 2025","Fri Mar 07 21:15:46 GMT 2025","586","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCancelledStatus","Hostfully APis: Create a booking with success Cancelled Status",""
"failed","Fri Mar 07 21:15:50 GMT 2025","Fri Mar 07 21:15:50 GMT 2025","566","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"failed","Fri Mar 07 21:15:56 GMT 2025","Fri Mar 07 21:15:56 GMT 2025","526","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyAliasAlreadyExisted","Hostfully APis: Attempt to create a Property with alias already existed",""
"failed","Fri Mar 07 21:15:45 GMT 2025","Fri Mar 07 21:15:46 GMT 2025","645","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidStatus","Hostfully APis: Attempt to create a booking with invalid status",""
"passed","Fri Mar 07 21:15:49 GMT 2025","Fri Mar 07 21:15:50 GMT 2025","674","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutStartDate","Hostfully APIs: Attempt to create a booking without start date",""
"failed","Fri Mar 07 21:15:47 GMT 2025","Fri Mar 07 21:15:48 GMT 2025","564","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"failed","Fri Mar 07 21:15:48 GMT 2025","Fri Mar 07 21:15:48 GMT 2025","572","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessEqualDates","Hostfully APis: Create a booking with start date and end date equals",""
"failed","Fri Mar 07 21:15:51 GMT 2025","Fri Mar 07 21:15:51 GMT 2025","559","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutBirthDate","Hostfully APIs: Attempt to create a booking without birth date",""
"failed","Fri Mar 07 21:15:55 GMT 2025","Fri Mar 07 21:15:56 GMT 2025","275","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","createPropertySuccess","Hostfully APis: Create a property with success",""
"passed","Fri Mar 07 21:15:51 GMT 2025","Fri Mar 07 21:15:52 GMT 2025","588","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutLastName","Hostfully APIs: Attempt to create a booking without lastName",""
"passed","Fri Mar 07 21:15:50 GMT 2025","Fri Mar 07 21:15:51 GMT 2025","602","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidProperty","Hostfully APis: Attempt to create a booking with invalid property (non existent)",""
