"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 07 21:02:31 GMT 2025","Fri Mar 07 21:02:32 GMT 2025","538","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyAliasAlreadyExisted","Hostfully APis: Attempt to create a Property with alias already existed",""
"passed","Fri Mar 07 21:02:29 GMT 2025","Fri Mar 07 21:02:29 GMT 2025","598","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutFirstName","Hostfully APIs: Attempt to create a booking without firstName",""
"failed","Fri Mar 07 21:02:23 GMT 2025","Fri Mar 07 21:02:24 GMT 2025","555","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessEqualDates","Hostfully APis: Create a booking with start date and end date equals",""
"failed","Fri Mar 07 21:02:21 GMT 2025","Fri Mar 07 21:02:22 GMT 2025","606","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCancelledStatus","Hostfully APis: Create a booking with success Cancelled Status",""
"failed","Fri Mar 07 21:02:16 GMT 2025","Fri Mar 07 21:02:21 GMT 2025","4277","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccessCompletedStatus","Hostfully APis: Create a booking with success Completed Status",""
"passed","Fri Mar 07 21:02:31 GMT 2025","Fri Mar 07 21:02:31 GMT 2025","368","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"passed","Fri Mar 07 21:02:32 GMT 2025","Fri Mar 07 21:02:32 GMT 2025","676","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","attemptGetPropertyWrongCredentials","Hostfully APis: Attempt to create a Property with wrong credentials",""
"failed","Fri Mar 07 21:02:24 GMT 2025","Fri Mar 07 21:02:25 GMT 2025","838","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingOverlappingDates","Hostfully APIs: Booking creation fails when booking dates overlap with an existing booking",""
"failed","Fri Mar 07 21:02:32 GMT 2025","Fri Mar 07 21:02:33 GMT 2025","544","","hostfully.apis.test.tests.properties.GetPropertiesTest","","hostfully.apis.test.tests.properties.GetPropertiesTest","getPropertyByIdSuccess","Hostfully APis: Get a property by ID with success",""
"failed","Fri Mar 07 21:02:21 GMT 2025","Fri Mar 07 21:02:21 GMT 2025","649","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingInvalidStatus","Hostfully APis: Attempt to create a booking with invalid status",""
"passed","Fri Mar 07 21:02:22 GMT 2025","Fri Mar 07 21:02:23 GMT 2025","716","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWrongCredentials","Hostfully APis: Attempt to create a booking with wrong credentials",""
"passed","Fri Mar 07 21:02:30 GMT 2025","Fri Mar 07 21:02:30 GMT 2025","298","","hostfully.apis.test.tests.properties.CreatePropertiesTest","","hostfully.apis.test.tests.properties.CreatePropertiesTest","attemptCreatePropertyWithoutAlias","Hostfully APis: Attempt to create a Property without passing an alias",""
"failed","Fri Mar 07 21:02:25 GMT 2025","Fri Mar 07 21:02:26 GMT 2025","533","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingDateTooFuture","Hostfully APIs: Attempt to create a booking with a date too future",""
"failed","Fri Mar 07 21:02:25 GMT 2025","Fri Mar 07 21:02:25 GMT 2025","639","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutStartDate","Hostfully APIs: Attempt to create a booking without start date",""
"failed","Fri Mar 07 21:02:23 GMT 2025","Fri Mar 07 21:02:23 GMT 2025","588","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","createBookingSuccess","Hostfully APis: Create a booking with success",""
"passed","Fri Mar 07 21:02:27 GMT 2025","Fri Mar 07 21:02:28 GMT 2025","608","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutLastName","Hostfully APIs: Attempt to create a booking without lastName",""
"failed","Fri Mar 07 21:02:26 GMT 2025","Fri Mar 07 21:02:27 GMT 2025","558","","hostfully.apis.test.tests.bookings.CreateBookingsTest","","hostfully.apis.test.tests.bookings.CreateBookingsTest","attemptCreateBookingWithoutBirthDate","Hostfully APIs: Attempt to create a booking without birth date",""
